,description,label
1626,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1627,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1628,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1629,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1630,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1631,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1632,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1634,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1635,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1636,"Hi! As you may have noticed, I sent you an email from your account. This means that I have full access to your account. I’ve been watching you for a few months now. The fact is that you were infected with njrat through an adult site that you visited. If you are not familiar with this, I will explain. Njrat gives me full access and control your device. This means that I can see everything on your screen, turn on the camera and microphone, but you do not know about it. I also have access to all your contacts and all your correspondence. I made a video showing how you satisfy yourself in the left half of the screen, and in the right half you see the video that you watched. With one click of the mouse, I can send this video to all your emails and contacts on social networks. I can also post access to all your e-mail correspondence and messengers that you use. If you want to prevent this, transfer the amount of 1300 EURO to my bitcoin address (if you do not know how to do this, write to Google: “Buy Bitcoin”). My bitcoin address (BTC Wallet) is: 1PBfPDTCirqxu36DYri2iKTjsEKLuzPCc After receiving the payment, I will delete the video and you will never hear me again. I give you 48 hours to pay. I have a notice reading this letter, and the timer will work when you see this letter. Filing a complaint somewhere does not make sense because this email cannot be tracked like my bitcoin address. I do not make any mistakes. If I find that you have shared this message with someone else, the video will be immediately distributed. Best regards!",1
1637,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1638,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1639,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1640,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1641,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1642,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1643,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1644,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1645,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1646,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1647,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1648,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1649,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1650,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1651,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1652,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1653,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1654,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1656,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1657,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1658,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1659,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately",0
1662,"Hello!

I am a hacker who has access to your operating system.
I also have full access to your account.

I've been watching you for a few months now.
The fact is that you were infected with malware through an adult site that you visited.

If you are not familiar with this, I will explain.
Trojan Virus gives me full access and control over a computer or other device.
This means that I can see everything on your screen, turn on the camera and microphone, but you do not know about it.

I also have access to all your contacts and all your correspondence.

Why your antivirus did not detect malware?
Answer: My malware uses the driver, I update its signatures every 4 hours so that your antivirus is silent.

I made a video showing how you satisfy yourself in the left half of the screen, and in the right half you see the video that you watched.
With one click of the mouse, I can send this video to all your emails and contacts on social networks.
I can also post access to all your e-mail correspondence and messengers that you use.

If you want to prevent this,
transfer the amount of $1300 to my bitcoin address (if you do not know how to do this, write to Google: ""Buy Bitcoin"").

My bitcoin address (BTC Wallet) is: bc1qwaxxf3ea7tjpg6ev9wl29tw726qxk6l9s6n8ah

After receiving the payment, I will delete the video and you will never hear me again.
I give you 50 hours (more than 2 days) to pay.
I have a notice reading this letter, and the timer will work when you see this letter.

Filing a complaint somewhere does not make sense because this email cannot be tracked like my bitcoin address.
I do not make any mistakes.

If I find that you have shared this message with someone else, the video will be immediately distributed.

Best regards!",1
1663,Your typical copy paste of blackmail scam,1
1664,This is a cryptocurrency giveaway scam,1
1668,scam similar as other one,1
1669,"Email came from microsoft@powerapps.com, but appeared with my personal email address in an attempt to blackmail into sending bitcoin to this wallet.",1
1670,Conman Stanzorl. 1 day Trading Profit scam,1
1671,Scammed by Stanzorl with 24 hours Trading for profit,1
1672,I invested my money and I wasn't given my profit I told them to return my money and they refused since I didn't want to upgrade my account,1
1673,sells child porn on kik messenger,1
1674,"again same thing, they have my sex tapes and they want send the money",1
1675,"Says he is a hacker and will release a sex tape if I don't pay $1100 to his bitcoin wallet. Email below.
 
Although you might not believe me, I must state that I have managed full access to your email address, social media profiles and hard-drive photos and movies. 
Also, in the past few months I have kept an eye on you and I now have a real clip in which you can see yourself jerking off on porn movies.
Your infested device is now supplying me will all the data I need.
 
The program that I have installed into your device provides me entry over your webcam and microphone.
I created a short clip with you when you were watching XXX movies and I can expose it to anyone you know.
That unless you will transfer the funds of $1100 into the following Bitcoin wallet: bc1qu9dnf40nzm9a6ucedullm2egat35n55zs8jec9
 
In case you are not too familiar with how Bitcoin functions, I recommend you browse the internet for info on how to buy and send Bitcoin.
 
Be aware that all my trojans that has been installed into your device by trojans, are created in such a way that they cannot be erased or defeated by your security programs.
And now they are traceable, as well as my email address or my BTC wallet. 
 
If you choose to make the transfer, I will erase the sex clip with you, and your life will return to normal.
You will never see from me again. You have 2 days to complete this transfer or else everybody you know and all of your friends will see the video when you were jerking off on porn clips
My malware lets me know when you will read the message and read it, so those 48 hours will begin running from that moment on.
 
DO NOT try to contact anyone or request the authorities about that.
It's impossible for my details to be revealed and you will only turn it worse for yourself.
If I see you have been spreading news about this letter to anyone, the compromising clip will be instantly loaded on social media and a letter to all your contacts will be provided.",1
1676,Ransom emails that threaten to distribute compromising images or videos of the recipient unless money is paid,1
1678,victim of love scammer was asked to transfer money to this bitcoin address,1
1679,this adress is scammer,1
1680,"this person is a white nationalist and a scammer, they are begging people for money on twitter when they have a rich household , involved in nft scams also",1
1681,This is a cryptocurrency giveaway scam,1
1682,This is a cryptocurrency giveaway scam,1
1683,This is a cryptocurrency giveaway scam,1
1684,This is a cryptocurrency giveaway scam,1
1685,"Recovering your lost bitcoin or funds as the case might be , is not what you can do alone , you'd require the service of a trained specialist . A recovery specialist is a person or a group of people who are well equipped to work around the crypto network . They have vast knowledge about the whole network and have the right software and private keys to follow any transaction . I was scammed $ 64,000 worth of Bitcoin in Binary option , good thing I got every penny back through the help of Ms Sarah Chloe she's a genius Contact On Mail: sarahchloe955@gmail.com or WhatsApp: ‪+1 (224) 244‑7368‬. It is also important to be patient and really calm during the process .",0
1686,"Recovering your lost bitcoin or funds as the case might be , is not what you can do alone , you'd require the service of a trained specialist . A recovery specialist is a person or a group of people who are well equipped to work around the crypto network . They have vast knowledge about the whole network and have the right software and private keys to follow any transaction . I was scammed $ 64,000 worth of Bitcoin in Binary option , good thing I got every penny back through the help of Ms Sarah Chloe she's a genius Contact On Mail: sarahchloe955@gmail.com or WhatsApp: ‪+1 (814) 374‑2897‬. It is also important to be patient and really calm during the process .",0
1687,This is a cryptocurrency giveaway scam,1
1688,This is a cryptocurrency giveaway scam,1
1690,This is a cryptocurrency giveaway scam,1
1691,"Hello there!

Unfortunately, there are some bad news for you. Around several months ago I have obtained access to your devices that you were using to browse internet. Subsequently, I have proceeded with tracking down internet activities of yours.

Below, is the sequence of past events: In the past, I have bought access from hackers to numerous email accounts (today, that is a very straightforward task that can be done online).
Clearly, I have effortlessly logged in to email account of yours...",1
1694,This is a cryptocurrency giveaway scam,1
1695,This is a cryptocurrency giveaway scam,1
1696,This is a cryptocurrency giveaway scam,1
1697,This is a cryptocurrency giveaway scam,1
1699,This is a cryptocurrency giveaway scam,1
1701,This is a cryptocurrency giveaway scam,1
1702,This is a cryptocurrency giveaway scam,1
1703,This is a cryptocurrency giveaway scam,1
1704,This is a cryptocurrency giveaway scam,1
1705,This is a cryptocurrency giveaway scam,1
1706,This is a cryptocurrency giveaway scam,1
1707,This is a cryptocurrency giveaway scam,1
1708,This is a cryptocurrency giveaway scam,1
1709,This is a cryptocurrency giveaway scam,1
1710,I ordered a magazine for the airgun and paid with BTC but later discovered out that website is scam,1
1712,This is a cryptocurrency giveaway scam,1
1713,This is a cryptocurrency giveaway scam,1
1714,This is a cryptocurrency giveaway scam,1
1715,This is a cryptocurrency giveaway scam,1
1716,This is a cryptocurrency giveaway scam,1
1717,This is a cryptocurrency giveaway scam,1
1718,This is a cryptocurrency giveaway scam,1
1719,This is a cryptocurrency giveaway scam,1
1720,This is a cryptocurrency giveaway scam,1
1721,This is a cryptocurrency giveaway scam,1
1722,This is a cryptocurrency giveaway scam,1
1723,"Greetings!
Your infested device is now providing me will all the info I want.
The software that I have installed into your device offers me control over your webcam and mike.
I created a short material with you when you were watching adult videos and I can send it to anyone you know.
That unless you will send the funds of $1100 into the next Bitcoin account: bc1qu9dnf40nzm9a6ucedullm2egat35n55zs8jec9
In case you don't know with how Bitcoin functions, I advise you check the internet for information on how to buy and send Bitcoin.
Keep in mind that all my software that has been installed into your device by trojans, are designed in such a way that they cannot be deleted or defeated by your anti-virus.
And now they are traceable, as well as my email address or my BTC address.",1
1724,scam SS7 service exploit  belongs to telegram @Allrounderguy,1
1725,This is a cryptocurrency giveaway scam,1
1726,This is a cryptocurrency giveaway scam,1
1728,Fake trading platform. You deposit but will never be able to withdraw,1
1729,This is a cryptocurrency giveaway scam,1
1730,This is a cryptocurrency giveaway scam,1
1731,This is a cryptocurrency giveaway scam,1
1732,This is a cryptocurrency giveaway scam,1
1733,Email says they hacked my computer and saw I visited porno sites (LOL).  Says they have video of me which they'll send to all my contacts if I don't pay them $500 worth of bitcoin.  I have 48 hours.  They have my email password and say they control my email and my computer.  The message was made to appear to be coming from my own email address.,1
1735,This is a cryptocurrency giveaway scam,1
1737,"Request pay in this wallet address to avoid publish ""photos"" and ""videos"". Obviusly i have nothing of this.",1
1738,This is a cryptocurrency giveaway scam,1
1739,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1740,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1741,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1742,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1743,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1744,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1745,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1746,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1747,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1748,IS ASKING ME BTC FROM A FAKE INSTAGRAM ACCOUNT,1
1749,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1750,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1751,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1752,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1754,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1755,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1756,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1757,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1758,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1759,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1760,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1761,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1762,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1763,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1764,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1765,This is a cryptocurrency giveaway scam,1
1766,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1767,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1768,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1769,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1770,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1771,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1772,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1773,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1775,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
1776,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
